Postcode,LAD.Code,LAD.Name,lat,lng
NG7 2RD,E06000018,Nottingham,52.940393,-1.189663
PO1 2UP,E06000044,Portsmouth,50.795177,-1.093615
M5 4WT,E08000006,Salford,53.483504,-2.270649
S10 2TN,E08000039,Sheffield,53.381381,-1.48853
SO17 1BJ,E06000045,Southampton,50.934091,-1.395705
SR1 3SD,E08000024,Sunderland,54.904464,-1.390987
GU2 7XH,E07000209,Guildford,51.242685,-0.587936
TS1 3BX,E06000002,Middlesbrough,54.570807,-1.235243
WC1V 7EY,E09000007,Camden,51.517766,-0.116363
CV4 8UW,E08000026,Coventry,52.385592,-1.564777
BS16 1QY,E06000025,South Gloucestershire,51.501078,-2.547459
W1B 2HW,E09000033,Westminster,51.516978,-0.14306
WV1 1LY,E08000031,Wolverhampton,52.588182,-2.12807
YO10 5DD,E06000014,York,53.948437,-1.053553
WC1X 8RA,E09000007,Camden,51.526906,-0.118768
BS23 2AL,E06000024,North Somerset,51.35095,-2.981531
SN15 3QD,E06000054,Wiltshire,51.463002,-2.110726
M14 5RB,E08000003,Manchester,53.455496,-2.222326
YO31 7EX,E06000014,York,53.964862,-1.079552
B4 7ET,E08000025,Birmingham,52.486965,-1.890225
WC1E 7HX,E09000007,Camden,51.521893,-0.130334
WC2R 0RN,E09000033,Westminster,51.510734,-0.116912
G4 0BA,S12000049,Glasgow City,55.867285,-4.250043
EH14 4AS,S12000036,City of Edinburgh,55.90938,-3.320681
ST5 5BG,E07000195,Newcastle-under-Lyme,53.00309,-2.273713
LA1 4YW,E07000121,Lancaster,54.010429,-2.786447
EH14 1DJ,S12000036,City of Edinburgh,55.917993,-3.239865
OX1 2JD,E07000178,Oxford,51.758043,-1.261992
E1 4NS,E09000030,Tower Hamlets,51.524637,-0.040683
SW15 5PU,E09000032,Wandsworth,51.456694,-0.243087
SW7 2BS,E09000033,Westminster,51.49928,-0.176889
NW1 0TU,E09000007,Camden,51.53683,-0.133773
AB24 3FX,S12000033,Aberdeen City,57.164841,-2.100237
WC1E 6BT,E09000007,Camden,51.523571,-0.132398
BD7 1DP,E08000032,Bradford,53.791584,-1.763774
MK18 1EG,E06000060,Buckinghamshire,51.996009,-0.99182
CB2 1TN,E07000008,Cambridge,52.205118,0.116208
NR4 7TJ,E07000148,Norwich,52.622394,1.241412
EH8 9YL,S12000036,City of Edinburgh,55.947687,-3.187349
CO4 3SQ,E07000071,Colchester,51.87681,0.946585
EX4 4QJ,E07000041,Exeter,50.735145,-3.535062
CF37 1DL,W06000016,Rhondda Cynon Taf,51.589204,-3.326003
G12 8QQ,S12000049,Glasgow City,55.871746,-4.288345
LS2 9JT,E08000035,Leeds,53.807974,-1.553334
LE1 7RH,E06000016,Leicester,52.620665,-1.125526
M13 9PL,E08000003,Manchester,53.466926,-2.233578
NE1 7RU,E08000021,Newcastle upon Tyne,54.980327,-1.615727
PA1 2BE,S12000038,Renfrewshire,55.843323,-4.430071
PL4 8AA,E06000026,Plymouth,50.375437,-4.13794
RG6 6UR,E06000041,Wokingham,51.440609,-0.947044
KY16 9AJ,S12000047,Fife,56.341231,-2.793292
FK9 4LA,S12000030,Stirling,56.145457,-3.920015
G1 1XQ,S12000049,Glasgow City,55.861245,-4.244692
BN1 9RH,E06000043,Brighton and Hove,50.864464,-0.087049
BT52 1SA,N09000004,Causeway Coast and Glens,55.148761,-6.678304
LN1 3DY,E07000138,Lincoln,53.243586,-0.53714
WC1E 7HU,E09000007,Camden,51.520644,-0.128698
CF10 3AT,W06000015,Cardiff,51.489014,-3.179718
NW3 3HY,E09000007,Camden,51.544328,-0.17418
LL28 4HZ,W06000003,Conwy,53.31142,-3.758255
L39 4QP,E07000127,West Lancashire,53.559624,-2.873835
EC2Y 8DT,E09000001,City of London,51.519519,-0.092348
B32 3NT,E08000025,Birmingham,52.433975,-1.993875
LL11 2AW,W06000006,Wrexham,53.052643,-3.00611
NW1 5HT,E09000033,Westminster,51.523499,-0.151675
M13 9RD,E08000003,Manchester,53.468574,-2.236961
CA1 2HH,E06000063,Cumberland,54.891169,-2.921421
TW1 4SX,E09000027,Richmond upon Thames,51.436151,-0.335885
CH1 4BJ,E06000050,Cheshire West and Chester,53.19862,-2.898167
DD1 1HG,S12000042,Dundee City,56.463117,-2.974299
BA2 7AY,E06000022,Bath and North East Somerset,51.379324,-2.327157
DE22 1GB,E06000015,Derby,52.938473,-1.496678
DD1 4HN,S12000042,Dundee City,56.457336,-2.978272
CF5 2YB,W06000015,Cardiff,51.495832,-3.212119
SA2 8PP,W06000011,Swansea,51.609631,-3.980635
SY23 3BF,W06000008,Ceredigion,52.417484,-4.067581
LL57 2DG,W06000002,Gwynedd,53.22921,-4.129444
SA31 3EP,W06000010,Carmarthenshire,51.85837,-4.328737
BT9 5DY,N09000003,Belfast,54.572814,-5.938522
SE10 9JF,E09000011,Greenwich,51.483587,-0.007172
BT12 6FE,N09000003,Belfast,54.593635,-5.962026
WC1B 3ES,E09000007,Camden,51.51822,-0.130671
CF31 3DF,W06000013,Bridgend,51.499904,-3.571965
RG1 4BS,E06000038,Reading,51.453237,-0.963562
BA1 6AE,E06000022,Bath and North East Somerset,51.39157,-2.352224
HA2 7HD,E09000015,Harrow,51.577652,-0.368274
TR10 9FE,E06000052,Cornwall,50.170537,-5.125693
SE1 1NX,E09000028,Southwark,51.504396,-0.089767
LS7 4BH,E08000035,Leeds,53.813066,-1.533202
NP15 1XJ,W06000021,Monmouthshire,51.711601,-2.919745
WC1E 6ED,E09000007,Camden,51.521733,-0.131594
E1 6PX,E09000030,Tower Hamlets,51.518547,-0.072555
SA10 7RF,W06000012,Neath Port Talbot,51.666465,-3.814165
CB5 8AD,E07000008,Cambridge,52.208707,0.11913
M1 7JE,E08000003,Manchester,53.472465,-2.227898
IP4 1QJ,E07000202,Ipswich,52.052374,1.163356
TW5 9QX,E09000018,Hounslow,51.478444,-0.409188
EC3N 2ET,E09000001,City of London,51.513081,-0.076475
N1 5DL,E09000012,Hackney,51.535933,-0.084812
WR14 4DF,E07000235,Malvern Hills,52.11352,-2.347855
M3 5FS,E08000006,Salford,53.48266,-2.253721
IG2 6EY,E09000026,Redbridge,51.574883,0.066035
E1 1EJ,E09000030,Tower Hamlets,51.515787,-0.065494
BH23 7AT,E07000091,New Forest,50.770542,-1.777002
ST19 5PH,E07000196,South Staffordshire,52.702435,-2.117219
RM10 7FN,E09000002,Barking and Dagenham,51.546127,0.166602
SW9 9PH,E09000022,Lambeth,51.465705,-0.125764
E14 7HS,E09000030,Tower Hamlets,51.512299,-0.034713
IG11 7NR,E09000002,Barking and Dagenham,51.537351,0.081581
IG1 1BA,E09000026,Redbridge,51.557886,0.07167
E7 8JQ,E09000025,Newham,51.542946,0.032269
SA2 9EB,W06000011,Swansea,51.622384,-3.983776
W12 8AA,E09000013,Hammersmith and Fulham,51.505071,-0.2231
WC1B 3HN,E09000007,Camden,51.519207,-0.131121
PO18 0QZ,E07000225,Chichester,50.906428,-0.775224
PL31 1DD,E06000052,Cornwall,50.459747,-4.711263
N1 6EU,E09000012,Hackney,51.527879,-0.083377
LS2 7PD,E08000035,Leeds,53.798246,-1.531256
CF10 5FE,W06000015,Cardiff,51.470297,-3.173893
NW6 7XG,E09000005,Brent,51.543792,-0.204155
WF9 3NR,E08000036,Wakefield,53.591348000000004,-1.30711
EC1R 4TF,E09000007,Camden,51.522534,-0.111423
PL6 8BH,E06000026,Plymouth,50.420851999999996,-4.110786
BN1 1HG,E06000043,Brighton and Hove,50.820995,-0.139682
L1 9DW,E08000012,Liverpool,53.401294,-2.974189
SE11 4DJ,E09000022,Lambeth,51.486706,-0.10805
GU3 1HA,E07000209,Guildford,51.224155,-0.583004
B13 8JL,E08000025,Birmingham,52.445937,-1.892886
TF10 8NB,E06000020,Telford and Wrekin,52.77991,-2.425557
M4 1PE,E08000003,Manchester,53.483348,-2.238173
HD1 1NY,E08000034,Kirklees,53.646872,-1.785063
UB6 0HE,E09000009,Ealing,51.549667,-0.341236
SE10 0ER,E09000011,Greenwich,51.500721,0.00689
B5 6BS,E08000025,Birmingham,52.47598,-1.8909
M11 3FF,E08000003,Manchester,53.484222,-2.202811
W5 5EP,E09000009,Ealing,51.508811,-0.306983
LE10 3DR,E07000132,Hinckley and Bosworth,52.554147,-1.34726
E1 1DU,E09000030,Tower Hamlets,51.51702,-0.068267
E1W 1LP,E09000030,Tower Hamlets,51.506077,-0.070517
RH10 1JA,E07000226,Crawley,51.112175,-0.186247
N1 9HF,E09000019,Islington,51.532184,-0.10814
GU2 8YT,E07000209,Guildford,51.245579,-0.593822
SE1 0LR,E09000028,Southwark,51.503421,-0.102272
